Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs, Valid_Ptrs
16, 10584, 1061, 9523, 215
16, 10428, 1062, 9366, 137
16, 10103, 1063, 9040, 120
16, 10282, 1063, 9219, 171
16, 10299, 1063, 9236, 184
16, 10504, 1063, 9441, 265
16, 10086, 1064, 9022, 102
16, 10207, 1064, 9143, 104
16, 10250, 1064, 9186, 189
16, 10424, 1065, 9359, 132
16, 10029, 1066, 8963, 142
16, 10037, 1066, 8971, 67
16, 10171, 1066, 9105, 159
16, 10511, 1066, 9445, 141
16, 10150, 1067, 9083, 160
16, 10218, 1067, 9151, 158
16, 10223, 1067, 9156, 61
16, 10224, 1067, 9157, 156
16, 10270, 1067, 9203, 205
16, 10633, 1067, 9566, 156
16, 10255, 1069, 9186, 183
16, 10518, 1069, 9449, 148
16, 10744, 1069, 9675, 227
16, 10271, 1070, 9201, 180
16, 10392, 1071, 9321, 125
16, 10731, 1071, 9660, 205
16, 10869, 1071, 9798, 143
16, 10469, 1072, 9397, 134
16, 10735, 1072, 9663, 163
16, 10788, 1072, 9716, 228
16, 9949, 1072, 8877, 64
16, 9978, 1072, 8906, 135
16, 10167, 1073, 9094, 162
16, 10364, 1073, 9291, 195
16, 10217, 1074, 9143, 138
16, 10158, 1075, 9083, 207
16, 10216, 1075, 9141, 172
16, 10309, 1075, 9234, 162
16, 10581, 1075, 9506, 148
16, 10213, 1076, 9137, 193
16, 10084, 1077, 9007, 118
16, 10576, 1077, 9499, 113
16, 10293, 1078, 9215, 159
16, 10455, 1078, 9377, 147
16, 10138, 1079, 9059, 92
16, 10569, 1079, 9490, 116
16, 10870, 1079, 9791, 137
16, 10153, 1081, 9072, 204
16, 10194, 1082, 9112, 114
16, 10508, 1082, 9426, 162
16, 10203, 1083, 9120, 115
16, 10370, 1083, 9287, 115
16, 10024, 1084, 8940, 109
16, 10603, 1084, 9519, 227
16, 10021, 1085, 8936, 220
16, 10252, 1085, 9167, 144
16, 10827, 1085, 9742, 174
16, 10231, 1086, 9145, 211
16, 10295, 1086, 9209, 237
16, 10359, 1086, 9273, 121
16, 10485, 1086, 9399, 177
16, 10095, 1087, 9008, 118
16, 10458, 1087, 9371, 173
16, 10609, 1087, 9522, 342
16, 10204, 1088, 9116, 178
16, 9996, 1089, 8907, 167
16, 10042, 1090, 8952, 144
16, 10366, 1090, 9276, 155
16, 10697, 1090, 9607, 178
16, 10854, 1091, 9763, 174
16, 10055, 1092, 8963, 92
16, 10113, 1092, 9021, 190
16, 10229, 1092, 9137, 98
16, 10592, 1093, 9499, 174
